timestamp,park,ride,wait_time,is_open
2026-05-25 01:31:40,Universal Studios Florida,Ollivanders™ Experience in Diagon Alley™,5,True
2026-05-25 01:31:40,Universal Studios Florida,Kang & Kodos' Twirl 'n' Hurl,0,False
2026-05-25 01:31:40,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™,0,False
2026-05-25 01:31:40,Universal Studios Florida,MEN IN BLACK™ Alien Attack!™ Single Rider,0,True
2026-05-25 01:31:40,Universal Studios Florida,The Simpsons Ride™,0,False
2026-05-25 01:31:40,Universal Studios Florida,Dolls: Let’s Play Dead,0,False
2026-05-25 01:31:40,Universal Studios Florida,El Artista: A Spanish Haunting,0,False
2026-05-25 01:31:40,Universal Studios Florida,Fallout,0,False
2026-05-25 01:31:40,Universal Studios Florida,Five Nights At Freddy’s,0,False
2026-05-25 01:31:40,Universal Studios Florida,Gálkn: Monsters of the North,0,False
2026-05-25 01:31:40,Universal Studios Florida,Grave of Flesh,0,False
2026-05-25 01:31:40,Universal Studios Florida,Hatchet and Chains: Demon Bounty Hunters,0,False
2026-05-25 01:31:40,Universal Studios Florida,JASON UN1V3RSE,0,False
2026-05-25 01:31:40,Universal Studios Florida,Terrifier,0,False
2026-05-25 01:31:40,Universal Studios Florida,WWE Presents: The Horrors of the Wyatt Sicks,0,False
2026-05-25 01:31:40,Epic Universe,Constellation Carousel,0,False
2026-05-25 01:31:40,Epic Universe,Stardust Racers,0,False
2026-05-25 01:31:40,Epic Universe,Stardust Racers Single Rider,0,True
2026-05-25 01:31:40,Epic Universe,Curse of the Werewolf,0,False
2026-05-25 01:31:40,Epic Universe,Curse of the Werewolf Single Rider,0,True
2026-05-25 01:31:40,Epic Universe,Monsters Unchained: The Frankenstein Experiment,0,False
2026-05-25 01:31:40,Epic Universe,Monsters Unchained: The Frankenstein Experiment Single Rider,0,True
2026-05-25 01:31:40,Epic Universe,Dragon Racer's Rally,0,False
2026-05-25 01:31:40,Epic Universe,Fyre Drill,0,False
2026-05-25 01:31:40,Epic Universe,Hiccup Wing Glider,0,False
2026-05-25 01:31:40,Epic Universe,Meet Toothless and Friends,30,True
2026-05-25 01:31:40,Epic Universe,Bowser Jr. Challenge,0,False
2026-05-25 01:31:40,Epic Universe,Mario Kart™: Bowser's Challenge,0,False
2026-05-25 01:31:40,Epic Universe,Mario Kart™: Bowser's Challenge Single Rider,0,True
2026-05-25 01:31:40,Epic Universe,Mine-Cart Madness™,0,False
2026-05-25 01:31:40,Epic Universe,Mine-Cart Madness™ Single Rider,0,True
2026-05-25 01:31:40,Epic Universe,Yoshi's Adventure™,0,False
2026-05-25 01:31:40,Epic Universe,Harry Potter and the Battle at the Ministry™,0,False
2026-05-25 01:31:40,Epic Universe,Harry Potter and the Battle at the Ministry™ Single Rider,0,True
2026-05-25 06:10:54,Islands of Adventure,Camp Jurassic™,0,False
2026-05-25 06:10:54,Islands of Adventure,Jurassic Park Discovery Center™,0,False
2026-05-25 06:10:54,Islands of Adventure,Jurassic Park River Adventure™,0,False
2026-05-25 06:10:54,Islands of Adventure,Jurassic World VelociCoaster,0,False
2026-05-25 06:10:54,Islands of Adventure,Pteranodon Flyers™,0,False
